OBJECTID,Point,N,E,Elevation,Code,Site,SurveyID
198,50297,1266629.01,2806221.82,7458.39,PITRCK,Riffle 1,Deploy 2023
199,50298,1266632.31,2806221.47,7458.33,PITRCK,Riffle 1,Deploy 2023
200,50299,1266635.62,2806221.17,7459.29,PITRCK,Riffle 1,Deploy 2023
201,50300,1266507.7,2805217.85,7457.63,PITRCK,GA Pile 1,Deploy 2023
202,50301,1266502.69,2805216.97,7457.68,PITRCK,GA Pile 1,Deploy 2023
203,50302,1266497.1,2805216.21,7457.86,PITRCK,GA Pile 1,Deploy 2023
204,50303,1266514.42,2805191.74,7457.74,PITRCK,GA Pile 1,Deploy 2023
205,50304,1266510.57,2805191.27,7457.77,PITRCK,GA Pile 1,Deploy 2023
206,50305,1266505.41,2805190.4,7458.52,PITRCK,GA Pile 1,Deploy 2023
207,50306,1266501.79,2805189.75,7458.09,PITRCK,GA Pile 1,Deploy 2023
208,50307,1266520.24,2805170.28,7457.32,PITRCK,GA Pile 1,Deploy 2023
209,50308,1266514.88,2805169.55,7458.01,PITRCK,GA Pile 1,Deploy 2023
210,50309,1266510.07,2805168.62,7457.72,PITRCK,GA Pile 1,Deploy 2023
211,50310,1266549.45,2804941.96,7457.27,PITRCK,GA Pile 2,Deploy 2023
212,50311,1266546.13,2804941.14,7457.77,PITRCK,GA Pile 2,Deploy 2023
213,50312,1266542.68,2804939.68,7457.89,PITRCK,GA Pile 2,Deploy 2023
214,50313,1266539.79,2804939.03,7456.98,PITRCK,GA Pile 2,Deploy 2023
215,50314,1266463.82,2804914.15,7457.19,PITRCK,GA Pile 3,Deploy 2023
216,50315,1266466.6,2804914.48,7457.32,PITRCK,GA Pile 3,Deploy 2023
217,50316,1266468.74,2804914.6,7457.25,PITRCK,GA Pile 3,Deploy 2023
218,50317,1266624.17,2804751.34,7456.85,PITRCK,GA Pile 4,Deploy 2023
219,50318,1266621.6,2804750.22,7457.27,PITRCK,GA Pile 4,Deploy 2023
220,50319,1266618.66,2804749.23,7457.45,PITRCK,GA Pile 4,Deploy 2023
221,50320,1266616.23,2804748.62,7456.51,PITRCK,GA Pile 4,Deploy 2023
222,50321,1266608.55,2804689.67,7456.38,PITRCK,GA Pile 5,Deploy 2023
223,50322,1266605.65,2804689.58,7456.61,PITRCK,GA Pile 5,Deploy 2023
224,50323,1266603.03,2804689.57,7456.17,PITRCK,GA Pile 5,Deploy 2023
225,50324,1266600.78,2804688.8,7455.99,PITRCK,GA Pile 5,Deploy 2023
226,50325,1266553.03,2804414.16,7455.25,PITRCK,GA Pile 6,Deploy 2023
227,50326,1266550.27,2804414.01,7455.61,PITRCK,GA Pile 6,Deploy 2023
228,50327,1266548.03,2804413.64,7455.48,PITRCK,GA Pile 6,Deploy 2023
229,50328,1266545.52,2804413.01,7455.58,PITRCK,GA Pile 6,Deploy 2023
230,50329,1266542.41,2804412.85,7455.28,PITRCK,GA Pile 6,Deploy 2023
231,50330,1266525.2,2804194.11,7455.71,PITRCK,Overflow 1C,Deploy 2023
232,50331,1266527.54,2804196.57,7455.42,PITRCK,Overflow 1C,Deploy 2023
233,50332,1266529.71,2804199.25,7455.55,PITRCK,Overflow 1C,Deploy 2023
234,50333,1266531.72,2804201.86,7455.37,PITRCK,Overflow 1C,Deploy 2023
235,50334,1266534.5,2804204.45,7455.63,PITRCK,Overflow 1C,Deploy 2023
236,50335,1266511.31,2804670.84,7457.35,PITRCK,Overflow 1A,Deploy 2023
237,50336,1266514.48,2804671.73,7456.88,PITRCK,Overflow 1A,Deploy 2023
238,50337,1266517.45,2804672.06,7456.87,PITRCK,Overflow 1A,Deploy 2023
239,50338,1266520.7,2804673.08,7457.11,PITRCK,Overflow 1A,Deploy 2023
240,50339,1266524.41,2804673.44,7457.24,PITRCK,Overflow 1A,Deploy 2023
