"TagID","Period","deployRiffleID","TagSize_mm","A_Axis_mm","B_Axis_mm","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","totalDistance_ft","movementDuration","DeployDate","LastRecapDate","deployID"
226001370295,"After","0",12,50,35,21,"32",44,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51011
226001370296,"After","GA11",12,22,15,9,"16",3.569,"Gravel","MG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50365
226001370297,"After","3",12,20,15,14,"16",5.694,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51112
226001370298,"After","2A",12,18,17,10,"16",4.49,"Gravel","MG2",500.57,"2023-04-24 to 2023-09-26",2023-04-24,2023-09-26,50146
226001370299,"After","2B",12,27,17,11,"16",7.086,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50186
226001370300,"After","3",12,24,15,13,"16",5.791,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51168
226001370301,"After","0",12,26,18,10,"16",6,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51013
226001370302,"After","0",12,28,18,10,"22.6",7.5,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51028
226001370305,"After","0",12,66,33,18,"32",55.5,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51054
226001370307,"After","0",12,97,76,26,"64",274.5,"Gravel","VCG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51040
226001370318,"After","1",12,28,16,8,"16",6.618,"Gravel","MG2",1089.91,"2023-04-24 to 2024-09-24",2023-04-24,2024-09-24,50219
226001370320,"After","0",12,38,30,19,"32",31,"Gravel","CG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51095
226001370321,"After","2A",12,25,12,7,"16",3.958,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50133
226001370323,"After","0",12,31,19,13,"16",9,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51078
226001370325,"After","GA12",12,37,35,25,"32",50,"Gravel","CG2",0,"2024-04-25 to 2024-04-25",2024-04-25,NA,50372
226001370328,"After","0",12,28,17,16,"22.6",10,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51053
226001370330,"After","GA6",12,22,15,14,"16",8.205,"Gravel","MG2",0,"2023-04-25 to 2023-04-25",2023-04-25,NA,50327
226001370336,"After","0",12,26,15,13,"16",7,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51036
226001370337,"After","1",12,24,17,8,"16",5.73,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50270
226001370341,"After","2B",12,21,17,9,"16",5.134,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50177
226001370342,"After","1",12,29,17,10,"16",7.81,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50278
226001370347,"After","0",12,24,20,15,"22.6",9,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51072
226001370354,"After","0",12,24,19,13,"16",5,"Gravel","MG2",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51075
226001370356,"After","1",12,36,17,8,"16",6.624,"Gravel","MG2",0,"2023-04-24 to 2023-04-24",2023-04-24,NA,50245
226001370357,"After","0",12,32,21,12,"22.6",9.5,"Gravel","CG1",0,"2024-10-16 to 2024-10-16",2024-10-16,NA,51020
