"","Point","E","N","Elevation","Code","SurveyID","Year","Period","TagID","RiffleID","Site","TagSize_mm","A_Axis_mm","B_Axis_mm","B_Axis_ft","C_Axis_mm","Gravelometer_mm","Weight_g","Particle_Class","Size_Class","Size_Class2","Distance_ft","Distance_m","Field_Movement","Moved_1PD","Moved_2PD","Hiding","Embedded","Buried","Notes"
"102",501,2804502,1266612.88,7453.58,"PITRCK","Relocate 2019",2019,"Before",228000607570,"2","Riffle 2",23,75,63,0.20669292,48,"64",338,"Gravel","VCG2","VCG",0.27,0.082296,0,1,0,0,0,0,""
"103",502,2804500.94,1266608.18,7453.67,"PITRCK","Relocate 2019",2019,"Before",230000111747,"2","Riffle 2",32,110,100,0.328084,59,"128",897,"Cobble","SC2","SC",0.14,0.042672,0,0,0,0,0,0,""
"104",503,2804499.57,1266602.95,7453.56,"PITRCK","Relocate 2019",2019,"Before",230000111646,"2","Riffle 2",32,93,77,0.25262468,55,"90",508,"Cobble","SC1","SC",0.31,0.094488,0,1,0,0,0,0,""
"105",504,2804497.34,1266597.42,7453.74,"PITRCK","Relocate 2019",2019,"Before",230000111620,"2","Riffle 2",32,159,120,0.3937008,46,"128",1290,"Cobble","SC2","SC",0.27,0.082296,0,0,0,0,0,0,""
"106",505,2804486.93,1266594.31,7453.59,"PITRCK","Relocate 2019",2019,"Before",230000111681,"2","Riffle 2",32,100,65,0.2132546,55,"90",572,"Cobble","SC1","SC",9.35,2.84988,1,1,1,0,0,0,""
"107",506,2804492.88,1266589.69,7453.53,"PITRCK","Relocate 2019",2019,"Before",228000607576,"2","Riffle 2",23,104,64,0.20997376,43,"64",599,"Gravel","VCG2","VCG",1.95,0.59436,1,1,1,0,0,0,""
"108",507,2804492.87,1266584.93,7453.62,"PITRCK","Relocate 2019",2019,"Before",230000111601,"2","Riffle 2",32,129,115,0.3772966,45,"128",1232,"Cobble","SC2","SC",1.02,0.310896,1,1,1,0,0,0,""
"109",508,2804492.84,1266579.48,7453.39,"PITRCK","Relocate 2019",2019,"Before",230000111723,"2","Riffle 2",32,146,89,0.29199476,36,"90",807,"Cobble","SC1","SC",0.46,0.140208,0,1,0,0,0,0,""
"110",509,2804491.14,1266575.56,7453.38,"PITRCK","Relocate 2019",2019,"Before",230000111704,"2","Riffle 2",32,95,73,0.23950132,41,"64",416,"Gravel","VCG2","VCG",0.14,0.042672,0,0,0,1,0,0,""
"111",510,2804490.99,1266571.52,7453.83,"PITRCK","Relocate 2019",2019,"Before",230000111666,"2","Riffle 2",32,321,290,0.9514436,200,">256",18300,"Boulder","SB1","SB",0.1,0.03048,0,0,0,0,0,0,""
"112",511,2804488.46,1266566.62,7453.34,"PITRCK","Relocate 2019",2019,"Before",230000111657,"2","Riffle 2",32,100,72,0.23622048,42,"64",379,"Gravel","VCG2","VCG",1.34,0.408432,1,1,1,0,0,0,""
