DeployID,TagID,RecapID,RecapID_Clean,Size (mm),Location,SurveyID,Date,Notes
51202,230000111591,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51226,230000111593,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51250,230000111598,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51261,230000111600,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51267,230000111607,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51265,230000111613,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51220,230000111619,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51224,230000111620,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51243,230000111622,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51227,230000111625,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51260,230000111630,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51242,230000111632,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51239,230000111636,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51209,230000111652,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51253,230000111654,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51200,230000111655,,,GRVAUG,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51262,230000111662,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51241,230000111665,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51288,230000111667,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51208,230000111670,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51225,230000111672,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51286,230000111679,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51257,230000111680,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51233,230000111682,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51240,230000111685,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51274,230000111687,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51291,230000111688,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51251,230000111691,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51273,230000111692,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51207,230000111697,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51230,230000111707,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51258,230000111710,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51214,230000111713,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51268,230000111721,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51252,230000111724,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51238,230000111727,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51212,230000111731,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51236,230000111739,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51256,230000111740,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51210,230000111742,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51222,230000111743,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51281,230000111744,,,CBL,Riffle 2B,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
51215,230000111747,,,CBL,Riffle 2A,Deploy 2024_10,,Field Sheet DeployID includes 2A/2B
