Point,E,N,Elevation,Code,SurveyID,Date,Period,TagID,RiffleID,TagSize_mm,A_Axis_mm,B_Axis_mm,C_Axis_mm,Gravelometer_mm,Weight_g,Particle_Class,Size_Class,Field_Movement,Hiding,Embedded,Buried,Notes
176,2806248.30,1266623.62,7458.36,PITRCK,Deploy 2019,4/16/2019,Before,230000111567,1,32,128,104,33,90,645,Cobble,SC1,NA,NA,NA,NA,NA
177,2806248.07,1266629.10,7457.87,PITRCK,Deploy 2019,4/16/2019,Before,228000607560,1,23,82,64,37,64,407,Gravel,VCG2,NA,NA,NA,NA,NA
178,2806246.95,1266634.81,7458.06,PITRCK,Deploy 2019,4/16/2019,Before,230000111648,1,32,101,88,34,90,508,Cobble,SC1,NA,NA,NA,NA,NA
179,2806245.95,1266642.32,7458.85,PITRCK,Deploy 2019,4/16/2019,Before,228000607517,1,23,68,56,43,64,241,Gravel,VCG2,NA,NA,NA,NA,NA
180,2806238.60,1266531.80,7458.57,PITRCK,Deploy 2019,4/16/2019,Before,230000111581,1,32,113,101,43,90,755,Cobble,SC1,NA,NA,NA,NA,NA
181,2806237.74,1266539.37,7458.38,PITRCK,Deploy 2019,4/16/2019,Before,228000607507,1,23,65,45,42,64,197,Gravel,VCG2,NA,NA,NA,NA,NA
182,2806236.68,1266544.91,7458.46,PITRCK,Deploy 2019,4/16/2019,Before,230000111693,1,32,154,92,58,90,1342,Cobble,SC1,NA,NA,NA,NA,NA
183,2806235.83,1266550.66,7458.36,PITRCK,Deploy 2019,4/16/2019,Before,230000111535,1,32,168,101,97,128,1715,Cobble,SC2,NA,NA,NA,NA,NA
184,2806235.00,1266555.19,7458.41,PITRCK,Deploy 2019,4/16/2019,Before,230000111562,1,32,197,169,68,180,3575,Cobble,LC1,NA,NA,NA,NA,NA
185,2806234.68,1266560.02,7458.2,PITRCK,Deploy 2019,4/16/2019,Before,228000607552,1,23,75,64,54,64,543,Gravel,VCG2,NA,NA,NA,NA,NA
186,2806233.92,1266564.96,7458.25,PITRCK,Deploy 2019,4/16/2019,Before,230000111700,1,32,131,82,56,90,709,Cobble,SC1,NA,NA,NA,NA,NA
187,2806232.82,1266569.98,7458.26,PITRCK,Deploy 2019,4/16/2019,Before,230000111521,1,32,203,83,83,90,2179,Cobble,SC1,NA,NA,NA,NA,NA
188,2806231.64,1266575.30,7458.44,PITRCK,Deploy 2019,4/16/2019,Before,230000111516,1,32,126,96,79,128,1425,Cobble,SC2,NA,NA,NA,NA,NA
189,2806230.99,1266579.62,7458.17,PITRCK,Deploy 2019,4/16/2019,Before,228000607535,1,23,74,54,36,64,254,Gravel,VCG2,NA,NA,NA,NA,NA
190,2806230.75,1266583.32,7458.33,PITRCK,Deploy 2019,4/16/2019,Before,230000111545,1,32,121,71,58,90,829,Cobble,SC1,NA,NA,NA,NA,NA
191,2806229.97,1266588.41,7458.28,PITRCK,Deploy 2019,4/16/2019,Before,230000111540,1,32,119,82,59,90,734,Cobble,SC1,NA,NA,NA,NA,NA
192,2806229.61,1266593.85,7458.26,PITRCK,Deploy 2019,4/16/2019,Before,230000111506,1,32,110,108,41,128,941,Cobble,SC2,NA,NA,NA,NA,NA
193,2806226.91,1266600.39,7458.11,PITRCK,Deploy 2019,4/16/2019,Before,230000111667,1,32,153,114,52,128,1347,Cobble,SC2,NA,NA,NA,NA,NA
194,2806226.19,1266606.73,7458.57,PITRCK,Deploy 2019,4/16/2019,Before,230000111614,1,32,306,205,256,256,18900,Cobble,LC2,NA,NA,NA,NA,NA
195,2806225.02,1266612.21,7458.04,PITRCK,Deploy 2019,4/16/2019,Before,230000111549,1,32,82,76,75,90,643,Cobble,SC1,NA,NA,NA,NA,NA
196,2806223.82,1266616.71,7457.94,PITRCK,Deploy 2019,4/16/2019,Before,230000111596,1,32,86,73,64,90,548,Cobble,SC1,NA,NA,NA,NA,NA
197,2806223.26,1266620.11,7458.25,PITRCK,Deploy 2019,4/16/2019,Before,230000111503,1,32,156,92,43,90,895,Cobble,SC1,NA,NA,NA,NA,NA
198,2806222.85,1266626.57,7458.41,PITRCK,Deploy 2019,4/16/2019,Before,230000111548,1,32,90,76,52,90,530,Cobble,SC1,NA,NA,NA,NA,NA
199,2806221.90,1266632.15,7458.68,PITRCK,Deploy 2019,4/16/2019,Before,228000607571,1,23,127,71,31,64,415,Gravel,VCG2,NA,NA,NA,NA,NA
200,2804503.27,1266619.43,7453.93,PITRCK,Deploy 2019,4/16/2019,Before,230000111682,2,32,110,97,52,90,812,Cobble,SC1,NA,NA,NA,NA,NA
201,2804502.03,1266613.15,7453.71,PITRCK,Deploy 2019,4/16/2019,Before,228000607570,2,23,75,63,48,64,338,Gravel,VCG2,NA,NA,NA,NA,NA
202,2804500.82,1266608.11,7453.76,PITRCK,Deploy 2019,4/16/2019,Before,230000111747,2,32,110,100,59,128,897,Cobble,SC2,NA,NA,NA,NA,NA
203,2804499.49,1266602.65,7453.76,PITRCK,Deploy 2019,4/16/2019,Before,230000111646,2,32,93,77,55,90,508,Cobble,SC1,NA,NA,NA,NA,NA
204,2804497.60,1266597.50,7453.73,PITRCK,Deploy 2019,4/16/2019,Before,230000111620,2,32,159,120,46,128,1290,Cobble,SC2,NA,NA,NA,NA,NA
205,2804496.24,1266593.42,7453.67,PITRCK,Deploy 2019,4/16/2019,Before,230000111681,2,32,100,65,55,90,572,Cobble,SC1,NA,NA,NA,NA,NA
206,2804494.81,1266589.38,7453.69,PITRCK,Deploy 2019,4/16/2019,Before,228000607576,2,23,104,64,43,64,599,Gravel,VCG2,NA,NA,NA,NA,NA
207,2804493.88,1266585.06,7453.81,PITRCK,Deploy 2019,4/16/2019,Before,230000111601,2,32,129,115,45,128,1232,Cobble,SC2,NA,NA,NA,NA,NA
208,2804492.82,1266579.94,7453.53,PITRCK,Deploy 2019,4/16/2019,Before,230000111723,2,32,146,89,36,90,807,Cobble,SC1,NA,NA,NA,NA,NA
209,2804491.01,1266575.60,7453.37,PITRCK,Deploy 2019,4/16/2019,Before,230000111704,2,32,95,73,41,64,416,Gravel,VCG2,NA,NA,NA,NA,NA
210,2804490.90,1266571.56,7453.87,PITRCK,Deploy 2019,4/16/2019,Before,230000111666,2,32,321,290,200,>256,18300,Boulder,SB1,NA,NA,NA,NA,NA
211,2804489.38,1266567.59,7453.52,PITRCK,Deploy 2019,4/16/2019,Before,230000111657,2,32,100,72,42,64,379,Gravel,VCG2,NA,NA,NA,NA,NA
212,2804488.26,1266563.44,7453.46,PITRCK,Deploy 2019,4/16/2019,Before,230000111547,2,32,168,111,53,90,1488,Cobble,SC1,NA,NA,NA,NA,NA
213,2804487.49,1266559.15,7453.11,PITRCK,Deploy 2019,4/16/2019,Before,230000111703,2,32,114,85,37,90,604,Cobble,SC1,NA,NA,NA,NA,NA
214,2804486.88,1266554.65,7453.16,PITRCK,Deploy 2019,4/16/2019,Before,230000111618,2,32,115,108,78,128,1109,Cobble,SC2,NA,NA,NA,NA,NA
215,2804486.15,1266550.19,7453.18,PITRCK,Deploy 2019,4/16/2019,Before,230000111654,2,32,114,105,95,128,1678,Cobble,SC2,NA,NA,NA,NA,NA
216,2804484.91,1266546.00,7453.05,PITRCK,Deploy 2019,4/16/2019,Before,230000111627,2,32,151,80,39,90,787,Cobble,SC1,NA,NA,NA,NA,NA
217,2804484.38,1266541.64,7453.49,PITRCK,Deploy 2019,4/16/2019,Before,230000111508,2,32,256,214,190,256,16900,Cobble,LC2,NA,NA,NA,NA,NA
218,2804483.43,1266536.93,7453.17,PITRCK,Deploy 2019,4/16/2019,Before,230000111583,2,32,85,61,55,90,493,Cobble,SC1,NA,NA,NA,NA,NA
219,2804482.13,1266533.35,7453.42,PITRCK,Deploy 2019,4/16/2019,Before,230000111619,2,32,95,64,54,90,460,Cobble,SC1,NA,NA,NA,NA,NA
